"","SER","xingTYPE","LOC","mWET","sdWET","mBANK","sdBANK","mDEPTH","sdDEPTH","mVELO","sdVELO","mTEMP","sdTEMP","mDO","sdDO","mPH","sdPH","mCOND","sdCOND","mTURBID","sdTURBID","mFINES","sdFINES","mROCK","sdROCK","mPOOL","sdPOOL","mRIFF","sdRIFF","mRUN","sdRUN"
"11",106,"culvert","up",1.95142857142857,0.447155027979804,3.25428571428571,0.735455802951638,0.172857142857143,0.0419182878603463,0.07075,0.020758532382292,9.925,0.492442890089806,10.6675,0.105316981853198,8.425,0.0191485421551264,216.5,1.56418242755335,1.6275,0.251313217585811,52.1428571428571,23.7797432802835,47.8571428571429,23.7797432802835,48.3333333333333,6.83130051063973,25.8333333333333,9.70395108533976,25.8333333333333,8.61200712184254
"12",106,"culvert","zdown",3.03142857142857,0.740099735878631,4.06571428571429,1.09338704862242,0.108857142857143,0.040391536124245,0.036,0.0330454232837166,9.5,0.0816496580927723,11,0.160831174424197,8.44,0.0424264068711928,228.5,2.25240612087015,2.255,0.262361074348565,30.7142857142857,16.1834718742537,69.2857142857143,16.1834718742537,39.1666666666667,7.35980072193987,33.3333333333333,6.05530070819498,27.5,4.18330013267038
"13",107,"dbridge","up",2.88,1.14380942468577,4.50571428571429,0.6686268800773,0.102285714285714,0.0317789987555423,0.1675,0.0099498743710662,10.35,0.0577350269189624,10.9225,0.0298607881119483,8.585,0.0129099444873578,286.15,1.51547572288923,1.565,0.232737334062816,30,16.3299316185545,75.7142857142857,12.0514768903274,21.6666666666667,5.16397779494322,38.3333333333333,5.16397779494322,40,5.47722557505166
"14",107,"dbridge","zdown",3.11428571428571,0.867829805565914,4.12857142857143,0.477124322423013,0.153,0.0732438848414437,0.1975,0.00850490054811538,10.425,0.0499999999999998,10.8325,0.0736545993132816,8.565,0.00577350269189613,284.9,3.45350063944785,1.8175,0.298147055438531,37.1428571428571,6.98638131005772,62.8571428571429,6.98638131005772,25,8.94427190999916,35,10.4880884817015,40,3.16227766016838
"15",108,"culvert","up",2.84285714285714,0.727775475580995,4.38428571428571,1.1682159780745,0.294285714285714,0.135013226865265,0.1515,0.033570820663189,12.525,0.206155281280883,10.0425,0.226034658109474,8.48,0,270.05,1.12694276695847,3.79,0.317385149831137,47.1428571428571,14.0999831138028,52.8571428571429,14.0999831138028,49.1666666666667,10.2062072615966,26.6666666666667,7.52772652709081,24.1666666666667,6.64580067912563
"16",108,"culvert","zdown",3.25857142857143,1.05972368366206,5.20428571428571,0.787059022413126,0.197142857142857,0.0688946746162299,0.1555,0.0576917093986071,11.25,0.173205080756888,10.2825,0.0953502316025856,8.4825,0.0206155281280879,270.1,1.20830459735946,6.0125,0.870454861935222,40.7142857142857,14.8404209926166,59.2857142857143,14.8404209926166,43.3333333333333,7.52772652709081,22.5,4.18330013267038,34.1666666666667,8.61200712184254
"17",109,"culvert","up",2.64857142857143,0.704211818783444,4.67571428571429,1.11992346677287,0.266714285714286,0.108036589921678,0.13775,0.0514935271013099,16.225,0.0957427107756336,8.535,0.323573793747268,7.885,0.066583281184794,194.325,7.14906753826446,1.65,0.0734846922834953,70.7142857142857,17.4233013109292,29.2857142857143,17.4233013109292,50,13.0384048104053,25,8.36660026534076,25,8.36660026534076
"18",109,"culvert","zdown",2.35,0.652942059706168,5.43714285714286,2.51903231609358,0.232,0.0837555968279135,0.142,0.0664479746368039,14.9,0,9.2775,0.11842719282327,8.105,0.0994987437106624,200.075,1.69975488428969,2.5,0.373273804777851,34.2857142857143,9.32227235735804,65.7142857142857,9.32227235735804,45.8333333333333,8.61200712184254,20.8333333333333,11.5830335692627,34.1666666666667,11.5830335692627
"19",110,"culvert","up",2.62142857142857,0.911197537519144,5.68571428571429,2.27968460642298,0.243,0.331128373897496,0.2175,0.0772118298362801,12.65,0.208166599946613,9.745,0.100829889748361,8.2025,0.0359397644214132,155.3,0.82865352631041,3.495,0.21439838307848,27.8571428571429,6.36209010280352,72.1428571428571,6.36209010280352,33.3333333333333,15.3839743456191,41.6666666666667,21.6024689946929,25,10.9544511501033
"20",110,"culvert","zdown",2.84428571428571,1.25388539006903,3.55571428571429,1.13734862938411,0.117857142857143,0.0856863049567599,0.18425,0.0622488286369042,11.65,0.208166599946613,9.8825,0.078049129826454,8.235,0.0264575131106461,156.725,2.37399101374317,3.155,0.584836159392811,36.4285714285714,19.0862703084106,63.5714285714286,19.0862703084106,28.3333333333333,11.2546286774228,39.1666666666667,12.4163870214594,34.1666666666667,4.91596040125088
