SER,SITE_ID,xingTYPE,xingTYPE,LOC,SiteID,TRANSECT,COND,TURBID,FINES,GRAVEL,COBBLE,BOULDER,sumROCK,meanROCK,WET_W,BANK_W,DEP_L,DEP_M,DEP_R,mean_DEPTH,VELO,TEMP,DO,pH,POOL,RIFF,RUN
127,UA_359,dbridge,bridge,zdown,127bridgeD,T2,208.3,3.72,35,20,30,15,65,21.66666667,2.01,5.31,0.03,0.2,0.07,0.11,0.431,13.6,9.79,8.63,40,40,20
127,UA_359,dbridge,bridge,zdown,127bridgeD,T3,NA,NA,45,20,15,10,45,15,0.92,2.2,0.13,0.19,0.03,0.117,NA,NA,NA,NA,30,50,20
127,UA_359,dbridge,bridge,zdown,127bridgeD,T4,209.4,3.64,30,20,35,15,70,23.33333333,1.03,3.32,0.31,0.07,0,0.127,0.162,13.5,9.86,8.59,35,40,25
127,UA_359,dbridge,bridge,zdown,127bridgeD,T5,NA,NA,20,30,25,25,80,26.66666667,1.33,4.1,0.25,0.16,0.13,0.18,NA,NA,NA,NA,40,40,20
127,UA_359,dbridge,bridge,zdown,127bridgeD,T6,209.3,3.69,20,25,35,20,80,26.66666667,2.12,6.22,0.01,0.32,0.12,0.15,0.167,13,9.98,8.62,25,45,30
128,UA_357,dbridge,bridge,zdown,128bridgeD,T0,237.6,4.5,30,30,20,20,70,23.33333333,1.62,3.8,0.02,0.15,0.03,0.067,0.132,11.6,10.24,8.41,40,35,25
128,UA_357,dbridge,bridge,zdown,128bridgeD,T1,NA,NA,30,20,35,15,70,23.33333333,1.47,3.1,0.06,0.07,0.03,0.053,NA,NA,NA,NA,30,50,20
128,UA_357,dbridge,bridge,zdown,128bridgeD,T2,237.1,4.66,40,30,20,10,60,20,1.38,2.93,0.03,0.09,0.09,0.07,0.162,11.1,10.5,8.61,50,40,10
128,UA_357,dbridge,bridge,zdown,128bridgeD,T3,NA,NA,25,20,35,20,75,25,1.6,3.35,0,0.08,0,0.027,NA,NA,NA,NA,40,40,20
128,UA_357,dbridge,bridge,zdown,128bridgeD,T4,235.1,4.59,35,20,20,25,65,21.66666667,1.28,3.05,0,0.03,0.08,0.037,0.213,10.9,10.45,8.96,40,50,10
128,UA_357,dbridge,bridge,zdown,128bridgeD,T5,NA,NA,40,15,30,15,60,20,2.3,3.3,0,0.09,0.06,0.05,NA,NA,NA,NA,50,30,20
128,UA_357,dbridge,bridge,zdown,128bridgeD,T6,233.2,4.55,30,15,35,20,70,23.33333333,2.5,3.57,0.02,0.08,0.06,0.053,0.093,10.7,10.6,8.31,30,40,30
129,UA_398,dbridge,bridge,zdown,129bridgeD,T0,391.1,4.98,40,20,20,20,60,20,1.6,2.7,0,0.17,0.08,0.083,0.09,12.1,8.64,8.71,45,35,20
129,UA_398,dbridge,bridge,zdown,129bridgeD,T1,NA,NA,60,30,10,0,40,13.33333333,1.67,1.67,0.12,0.33,0.21,0.22,NA,NA,NA,NA,40,30,30
129,UA_398,dbridge,bridge,zdown,129bridgeD,T2,390.4,4.67,50,40,10,0,50,16.66666667,1.21,2.42,0.22,0.08,0,0.1,0.061,12.3,8.76,8.7,35,40,25
129,UA_398,dbridge,bridge,zdown,129bridgeD,T3,NA,NA,40,40,20,0,60,20,1.26,2.22,0,0.05,0.08,0.043,NA,NA,NA,NA,40,20,40
129,UA_398,dbridge,bridge,zdown,129bridgeD,T4,391.7,4.59,40,40,10,10,60,20,2.16,2.16,0.17,0.07,0.04,0.093,0.052,12.4,8.79,8.73,40,25,35
129,UA_398,dbridge,bridge,zdown,129bridgeD,T5,NA,NA,30,60,10,0,70,23.33333333,1.45,1.8,0.08,2,0.14,0.74,NA,NA,NA,NA,45,40,15
129,UA_398,dbridge,bridge,zdown,129bridgeD,T6,289.6,4.36,45,55,0,0,55,18.33333333,1.3,1.89,0.08,0.32,0.03,0.143,0.162,12.5,8.9,8.7,30,30,40
130,UA_298,dbridge,bridge,zdown,130bridgeD,T0,211.3,5.43,45,15,20,20,55,18.33333333,2.1,3.5,0,0.35,0.22,0.19,0.86,13.1,9.62,8.71,NA,NA,NA
130,UA_298,dbridge,bridge,zdown,130bridgeD,T1,NA,NA,35,35,30,0,65,21.66666667,2.2,4.2,0,0.14,0.08,0.073,NA,NA,NA,NA,30,30,40
130,UA_298,dbridge,bridge,zdown,130bridgeD,T2,210.8,5.21,50,20,30,0,50,16.66666667,1.63,3.9,0,0.12,0.24,0.12,0.318,13,9.71,8.7,20,40,40
130,UA_298,dbridge,bridge,zdown,130bridgeD,T3,NA,NA,40,25,25,10,60,20,1.7,3.81,0.13,0.1,0.03,0.087,NA,NA,NA,NA,20,35,45
130,UA_298,dbridge,bridge,zdown,130bridgeD,T4,211.31,5.41,50,30,5,15,50,16.66666667,2.13,4.31,0.09,0.13,0.09,0.103,0.291,13.3,9.62,8.73,15,45,40
130,UA_298,dbridge,bridge,zdown,130bridgeD,T5,NA,NA,40,35,15,10,60,20,1.54,4.6,0.06,0.1,0.07,0.077,NA,NA,NA,NA,20,40,40
130,UA_298,dbridge,bridge,zdown,130bridgeD,T6,210.3,5.31,30,25,40,5,70,23.33333333,1.73,3.72,0,0.31,0.23,0.18,0.261,13.3,9.9,8.7,25,35,40
131,UA_349,dbridge,bridge,zdown,131bridgeD,T0,290.1,1.97,45,40,10,5,55,18.33333333,1.8,3.4,0.04,0.09,0,0.043,0.201,13.1,10.91,8.23,NA,NA,NA
131,UA_349,dbridge,bridge,zdown,131bridgeD,T1,NA,NA,45,20,15,20,55,18.33333333,2,4.1,0.13,0.14,0.02,0.097,NA,NA,NA,NA,30,40,30
131,UA_349,dbridge,bridge,zdown,131bridgeD,T2,290.4,1.9,35,40,20,5,65,21.66666667,1.68,3.92,0.06,0.1,0.06,0.073,0.162,13,11.65,8.71,40,25,35
131,UA_349,dbridge,bridge,zdown,131bridgeD,T3,NA,NA,50,25,10,15,50,16.66666667,1.73,4.05,0.02,0.06,0.1,0.06,NA,NA,NA,NA,50,25,25
131,UA_349,dbridge,bridge,zdown,131bridgeD,T4,289.3,1.94,30,10,30,30,70,23.33333333,1.62,3.51,0.03,0.08,0,0.037,0.13,13.3,11.52,8.71,40,25,35
131,UA_349,dbridge,bridge,zdown,131bridgeD,T5,NA,NA,30,40,30,0,70,23.33333333,2.1,3.42,0.09,0.16,0.17,0.14,NA,NA,NA,NA,45,30,25
131,UA_349,dbridge,bridge,zdown,131bridgeD,T6,290.3,1.84,25,40,30,5,75,25,1.3,4.13,0.1,0.08,0.1,0.093,0.212,13.3,12.1,8.68,50,25,25
132,UA_282,dbridge,bridge,zdown,132bridgeD,T0,213.2,6.41,50,20,30,0,50,16.66666667,4.8,5.9,0.12,0.16,0.08,0.12,0.196,13.4,9.81,8.23,NA,NA,NA
132,UA_282,dbridge,bridge,zdown,132bridgeD,T1,NA,NA,50,25,15,10,50,16.66666667,2.2,5.06,0.18,0.12,0,0.1,NA,NA,NA,NA,20,45,35
132,UA_282,dbridge,bridge,zdown,132bridgeD,T2,210.9,6.34,20,25,30,25,80,26.66666667,4.8,4.8,0.09,0.07,0.02,0.06,0.176,13.7,9.48,8.38,40,30,30
132,UA_282,dbridge,bridge,zdown,132bridgeD,T3,NA,NA,70,20,10,0,30,10,4.1,4.43,0.2,0.45,0.16,0.27,NA,NA,NA,NA,25,65,10
132,UA_282,dbridge,bridge,zdown,132bridgeD,T4,211.4,6.4,50,20,30,0,50,16.66666667,4.5,4.53,0.15,0.18,0.29,0.207,0.182,13.9,9.98,8.38,20,60,20
132,UA_282,dbridge,bridge,zdown,132bridgeD,T5,NA,NA,35,30,30,5,65,21.66666667,1.8,7.6,0.19,0.02,0,0.07,NA,NA,NA,NA,20,45,35
132,UA_282,dbridge,bridge,zdown,132bridgeD,T6,211.8,6.34,50,20,20,10,50,16.66666667,4.2,9.34,0.12,0.08,0.1,0.1,0.206,14.1,10.6,8.42,30,40,30
133,UA_144,dbridge,bridge,zdown,133bridgeD,T0,119.4,1.4,40,20,15,25,60,20,2,6.5,0.03,0,0.04,0.023,0.141,11.2,9.14,7.89,NA,NA,NA
133,UA_144,dbridge,bridge,zdown,133bridgeD,T1,NA,NA,35,15,40,10,65,21.66666667,2,9.5,0.37,0.06,0,0.143,NA,NA,NA,NA,40,25,35
133,UA_144,dbridge,bridge,zdown,133bridgeD,T2,118.3,1.62,45,25,30,10,65,21.66666667,2.8,6.4,0.17,0.02,0,0.063,0.102,10.9,9.18,8.06,30,30,40
133,UA_144,dbridge,bridge,zdown,133bridgeD,T3,NA,NA,30,20,20,30,70,23.33333333,4.3,4.3,0.08,0.09,0.12,0.097,NA,NA,NA,NA,35,30,35
133,UA_144,dbridge,bridge,zdown,133bridgeD,T4,117.3,1.09,30,25,25,20,70,23.33333333,2.5,5.3,0,0.07,0.04,0.037,0.131,11,9.16,8.4,20,25,55
133,UA_144,dbridge,bridge,zdown,133bridgeD,T5,NA,NA,35,35,25,5,65,21.66666667,3.6,10.6,0.16,0.18,0.16,0.167,NA,NA,NA,NA,35,30,35
133,UA_144,dbridge,bridge,zdown,133bridgeD,T6,125.8,0.87,35,25,15,25,65,21.66666667,2.5,7.2,0,0.08,0.05,0.043,0.109,10.9,9.2,8.54,30,25,45
134,UA_372,dbridge,bridge,zdown,134bridgeD,T0,239.8,4.67,45,35,20,0,55,18.33333333,1.03,1.03,0.13,0.31,0.08,0.173,0.076,16.9,8.76,7.89,NA,NA,NA
134,UA_372,dbridge,bridge,zdown,134bridgeD,T1,NA,NA,40,30,30,0,60,20,1.14,1.14,0.16,0.14,0.15,0.15,NA,NA,NA,NA,40,40,20
134,UA_372,dbridge,bridge,zdown,134bridgeD,T2,238.6,4.54,60,25,15,0,40,13.33333333,0.98,1.05,0.08,0.15,0.09,0.107,0.094,10.9,8.92,8.06,20,60,20
134,UA_372,dbridge,bridge,zdown,134bridgeD,T3,NA,NA,45,35,15,5,55,18.33333333,0.9,1.21,0.1,0.21,0,0.103,NA,NA,NA,NA,35,40,25
134,UA_372,dbridge,bridge,zdown,134bridgeD,T4,238.1,4.48,45,35,20,0,55,18.33333333,0.68,1.19,0.03,0.13,0.1,0.087,0.09,11,9.1,8.02,30,30,40
134,UA_372,dbridge,bridge,zdown,134bridgeD,T5,NA,NA,50,40,10,0,50,16.66666667,1.1,1.22,0.09,0.19,0.06,0.113,NA,NA,NA,NA,30,30,40
134,UA_372,dbridge,bridge,zdown,134bridgeD,T6,239.4,4.21,45,35,20,0,55,18.33333333,1.12,1.12,0.12,0.21,0.11,0.147,0.102,10.9,8.82,8.01,35,30,35
136,ref_1,ref,ref,zdown,136refD,T0,318.8,1.39,30,30,20,20,70,23.33333333,2.1,4.3,0.17,0.1,0,0.05,0.062,9.6,11.2,8.54,NA,NA,NA
136,ref_1,ref,ref,zdown,136refD,T1,NA,NA,20,35,30,15,80,26.66666667,1.87,3.8,0.1,0.12,0,0.073,NA,NA,NA,NA,20,55,25
136,ref_1,ref,ref,zdown,136refD,T2,316.6,1.42,20,30,40,10,80,26.66666667,1.4,4.5,0.03,0,0.11,0.047,0.155,9.6,11.65,8.56,35,30,35
136,ref_1,ref,ref,zdown,136refD,T3,NA,NA,20,40,30,10,80,26.66666667,2.13,2.91,0.13,0.12,0,0.083,NA,NA,NA,NA,45,35,20
136,ref_1,ref,ref,zdown,136refD,T4,318.1,1.34,15,50,15,20,85,28.33333333,1.43,4.46,0,0.08,0,0.027,0.093,9.5,11.45,8.59,35,50,15
136,ref_1,ref,ref,zdown,136refD,T5,NA,NA,20,40,35,5,80,26.66666667,1.52,4.43,0.1,0.14,0,0.08,NA,NA,NA,NA,50,35,15
136,ref_1,ref,ref,zdown,136refD,T6,319.4,1.26,25,25,25,25,75,25,3.61,4.23,0.15,0.12,0,0.09,0.131,9.5,11.75,8.51,45,15,40
137,ref_2,ref,ref,zdown,137refD,T0,232.6,4.32,15,30,20,5,55,18.33333333,3.81,10.23,0.2,0.11,0,0.103,0.052,11.3,10.8,8.56,NA,NA,NA
137,ref_2,ref,ref,zdown,137refD,T1,NA,NA,30,20,30,20,70,23.33333333,2.42,7.21,0,0.1,0.12,0.05,NA,NA,NA,NA,25,40,35
137,ref_2,ref,ref,zdown,137refD,T2,231.9,4.2,30,15,25,30,70,23.33333333,2.83,8.12,0.16,0.08,0,0.08,0.067,11.2,10.2,8.54,25,40,35
137,ref_2,ref,ref,zdown,137refD,T3,NA,NA,15,35,30,20,85,28.33333333,3.7,5.57,0.13,0.13,0,0.087,NA,NA,NA,NA,20,45,35
137,ref_2,ref,ref,zdown,137refD,T4,232.1,4.16,25,25,25,25,75,25,3.87,5.83,0.13,0.1,0.03,0.087,0.083,12.4,10.17,8.66,15,50,35
137,ref_2,ref,ref,zdown,137refD,T5,NA,NA,10,20,50,20,90,30,3.141,9.56,0.12,0.09,0,0.07,NA,NA,NA,NA,30,30,40
137,ref_2,ref,ref,zdown,137refD,T6,231.1,4.34,35,20,30,15,65,21.66666667,3.84,8.59,0,0.21,0.1,0.08,0.082,11.4,10.1,8.84,30,30,40
138,ref_3,ref,ref,zdown,138refD,T0,351.9,5.31,20,30,40,10,80,26.66666667,1.83,4.2,0.12,0.81,0,0.31,0.131,13.1,11.58,8.63,NA,NA,NA
138,ref_3,ref,ref,zdown,138refD,T1,NA,NA,30,20,30,20,70,23.33333333,2.72,5.61,0.1,0.62,0.07,0.13,NA,NA,NA,NA,30,30,40
138,ref_3,ref,ref,zdown,138refD,T2,355.1,5.1,15,35,20,30,85,28.33333333,2.17,5.79,0.17,0.13,0.13,0.143,0.141,13.1,11.6,8.6,20,40,40
138,ref_3,ref,ref,zdown,138refD,T3,NA,NA,20,40,30,10,80,26.66666667,1.97,5.83,0.16,0.25,0.12,0.13,NA,NA,NA,NA,20,40,40
138,ref_3,ref,ref,zdown,138refD,T4,354.3,5.43,5,60,10,25,95,31.66666667,1.21,4.57,0.09,0.71,0.51,0.261,0.192,13.2,11.63,8.62,35,30,35
138,ref_3,ref,ref,zdown,138refD,T5,NA,NA,15,20,30,35,85,28.33333333,1.68,4.57,0.32,0.12,0.17,0.203,NA,NA,NA,NA,30,40,30
138,ref_3,ref,ref,zdown,138refD,T6,352.1,5.33,20,30,15,35,80,26.66666667,2.19,6.21,0.13,0.59,0.02,0.168,0.093,13.2,11.72,8.61,25,40,35
139,ref_4,ref,ref,zdown,139refD,T0,268.2,3.13,20,25,25,30,80,26.66666667,1.24,7.72,0.1,0.08,0,0.06,0.062,4.4,13.21,8.36,NA,NA,NA
139,ref_4,ref,ref,zdown,139refD,T1,NA,NA,25,25,30,20,75,25,0.92,8.01,0,0.13,0.06,0.063,NA,NA,NA,NA,30,40,30
139,ref_4,ref,ref,zdown,139refD,T2,265.4,3.46,30,30,30,10,70,23.33333333,1.39,6.23,0.6,0.1,0.02,0.2,0.111,4.2,12.62,8.39,25,45,30
139,ref_4,ref,ref,zdown,139refD,T3,NA,NA,15,35,20,30,85,28.33333333,0.82,2.89,0.12,0.2,1.11,0.13,NA,NA,NA,NA,20,40,40
139,ref_4,ref,ref,zdown,139refD,T4,264.8,3.21,30,20,30,20,70,23.33333333,1.67,6.02,0.09,0.19,0.08,0.12,0.084,4.3,13,8.38,30,40,30
139,ref_4,ref,ref,zdown,139refD,T5,NA,NA,15,30,35,20,85,28.33333333,1.21,4.57,0,0,0.31,0.103,NA,NA,NA,NA,20,45,35
139,ref_4,ref,ref,zdown,139refD,T6,261.3,3.01,25,35,20,20,75,25,1.03,7.51,0.11,0.19,0.04,0.113,0.093,4.3,13.1,8.32,15,30,55
140,ref_5,ref,ref,zdown,140refD,T0,306.2,1.11,5,30,25,40,95,31.66666667,2.81,8.21,0.13,0.26,0,0.13,0.681,9.9,11.62,8.63,NA,NA,NA
140,ref_5,ref,ref,zdown,140refD,T1,NA,NA,10,35,30,25,90,30,2.2,9.1,0,0.13,0.09,0.073,NA,NA,NA,NA,10,50,40
140,ref_5,ref,ref,zdown,140refD,T2,305.6,1.05,15,20,40,30,90,30,3.94,10.62,0,0.19,0.11,0.1,0.631,9.5,11.61,8.65,10,30,60
140,ref_5,ref,ref,zdown,140refD,T3,NA,NA,15,25,35,25,85,28.33333333,3.14,9.13,0.1,0.17,0,0.09,NA,NA,NA,NA,10,40,50
140,ref_5,ref,ref,zdown,140refD,T4,303.4,1.16,10,30,40,20,90,30,3.4,6.62,0.17,0.2,0,0.123,0.657,9.4,11.7,8.6,10,60,30
140,ref_5,ref,ref,zdown,140refD,T5,NA,NA,5,20,45,30,95,31.66666667,1.63,8.13,0.03,0.15,0,0.06,NA,NA,NA,NA,15,45,40
140,ref_5,ref,ref,zdown,140refD,T6,306.3,1.06,10,25,30,35,90,30,1.21,11.92,0,0.19,0.17,0.12,0.701,9.5,11.73,8.63,5,50,45
141,ref_6,ref,ref,zdown,141refD,T0,210.3,2.94,30,20,25,25,70,23.33333333,1.12,5.65,0,0.21,0.12,0.11,0.171,7.2,10.33,8.62,NA,NA,NA
141,ref_6,ref,ref,zdown,141refD,T1,NA,NA,35,10,30,25,65,21.66666667,1.31,7.22,0.02,0.12,0.11,0.083,NA,NA,NA,NA,25,50,25
141,ref_6,ref,ref,zdown,141refD,T2,211.3,2.9,20,20,40,20,80,26.66666667,1.43,10.29,0,0.13,0.08,0.07,0.162,7.1,10.39,8.63,25,55,20
141,ref_6,ref,ref,zdown,141refD,T3,NA,NA,20,15,35,30,80,26.66666667,1.91,5.91,0,0.06,0.06,0.04,NA,NA,NA,NA,10,50,40
141,ref_6,ref,ref,zdown,141refD,T4,210.9,2.99,35,15,15,35,65,21.66666667,2.67,12.44,0.12,0.29,0.18,0.197,0.103,7.3,10.31,8.63,20,40,40
141,ref_6,ref,ref,zdown,141refD,T5,NA,NA,15,25,20,40,85,28.33333333,1.88,8.21,0,0.23,0.1,0.11,NA,NA,NA,NA,30,45,25
141,ref_6,ref,ref,zdown,141refD,T6,212.3,2.64,30,20,25,25,70,23.33333333,1.26,5.85,0.06,0.19,0.14,0.13,0.183,7.3,10.51,8.6,10,50,40
142,ref_7,ref,ref,zdown,142refD,T0,273.1,3.74,35,25,20,20,65,21.66666667,5.11,0.16,0.41,0.19,0.071,0.192,0.91,8.62,8.01,NA,NA,NA,NA
142,ref_7,ref,ref,zdown,142refD,T1,NA,NA,15,35,40,10,85,28.33333333,2.25,4.51,0.07,0.28,0.13,0.16,NA,NA,NA,NA,25,50,25
142,ref_7,ref,ref,zdown,142refD,T2,271.3,3.64,25,40,15,20,75,25,0.99,4.1,0.17,0.25,0,0.14,0.091,9.2,8.91,8.01,45,30,25
142,ref_7,ref,ref,zdown,142refD,T3,NA,NA,20,30,35,15,80,26.66666667,2.16,3.06,0.09,0.11,0.1,0.1,NA,NA,NA,NA,40,25,35
